"uniqueIDsite","unIDyearSite","uniqueIDYear","uniqueID","site","year","block","row","treat","seedl_nr","height","diam_mm","dateYear","mort_date","notes","mortality","mort_binar","waxQual","damage","percentDebark","waxHeight_cm","rootCol","origNotes","mort2","rank","sumDamage","sumMort","ZeroDam","bxcx.x.t","bxcx.x","x.t","x","mean","sd","n","norm_stat","standardize"
"B10R4wax CS3 clearcut","B10R4wax CS3_2020_clearcut","B10R4wax CS3_2020","B10R4wax CS3","clearcut",2020,10,4,"wax C",3,68,16.2,2020,0,"alive","alive",0,4,150,0,0,"","alive",0,5,400,0,1,-0.1627477737364,150,-0.116052232879533,150,5.86189291449746,1.36231182281033,456,2.85714285714286,TRUE
"B10R4wax CS5 clearcut","B10R4wax CS5_2018_clearcut","B10R4wax CS5_2018","B10R4wax CS5","clearcut",2018,10,4,"wax C",5,25,4.2,2018,0,"alive","alive",0,2,30,10,0,"","alive",0,3,30,1,1,-1.27372005739375,30,-1.29725857221234,30,5.86189291449746,1.36231182281033,456,2.85714285714286,TRUE
"B10R4wax CS8 clearcut","B10R4wax CS8_2018_clearcut","B10R4wax CS8_2018","B10R4wax CS8","clearcut",2018,10,4,"wax C",8,35,6.4,2018,0,"alive","alive",0,1,30,10,0,"","alive",0,2,160,0,1,-1.27372005739375,30,-1.29725857221234,30,5.86189291449746,1.36231182281033,456,2.85714285714286,TRUE
"B10R4wax CS8 clearcut","B10R4wax CS8_2019_clearcut","B10R4wax CS8_2019","B10R4wax CS8","clearcut",2019,10,4,"wax C",8,31,9.2,2019,0,"alive","alive",0,2,40,10,0,"","alive",0,3,160,0,1,-1.08408906271493,40,-1.08617575040892,40,5.86189291449746,1.36231182281033,456,2.85714285714286,TRUE
"B10R4wax CS8 clearcut","B10R4wax CS8_2020_clearcut","B10R4wax CS8_2020","B10R4wax CS8","clearcut",2020,10,4,"wax C",8,50,9.3,2020,0,"alive","alive",0,4,90,0,0,"","alive",0,5,160,0,1,-0.528823999213003,90,-0.49100741081335,90,5.86189291449746,1.36231182281033,456,2.85714285714286,TRUE
"B10R6controlS10 clearcut","B10R6controlS10_2019_clearcut","B10R6controlS10_2019","B10R6controlS10","clearcut",2019,10,6,"control",10,50,6.6,2019,0,"alive","alive",0,0,10,10,0,"","alive",0,1,170,0,1,-1.96420491796519,10,-2.10206644048055,10,5.86189291449746,1.36231182281033,456,2.85714285714286,TRUE
"B10R6controlS10 clearcut","B10R6controlS10_2020_clearcut","B10R6controlS10_2020","B10R6controlS10","clearcut",2020,10,6,"control",10,57,9.7,2020,0,"alive","alive",0,0,160,0,0,"","terminal",0,1,170,0,1,-0.115571703604247,160,-0.0686789556217186,160,5.86189291449746,1.36231182281033,456,2.85714285714286,TRUE
"B10R6controlS2 clearcut","B10R6controlS2_2018_clearcut","B10R6controlS2_2018","B10R6controlS2","clearcut",2018,10,6,"control",2,0,NA,2018,2018,"Hylobius","dead",1,0,500,100,0,"","Hylobius",1,1,500,1,1,0.752896686348316,500,0.767712169102117,500,5.86189291449746,1.36231182281033,456,2.85714285714286,TRUE
"B10R6controlS3 clearcut","B10R6controlS3_2018_clearcut","B10R6controlS3_2018","B10R6controlS3","clearcut",2018,10,6,"control",3,0,NA,2018,2018,"Hylobius","dead",1,0,950,100,0,"","Hylobius",1,1,950,1,1,1.27304850264101,950,1.23886213083261,950,5.86189291449746,1.36231182281033,456,2.85714285714286,TRUE
"B10R6controlS4 clearcut","B10R6controlS4_2018_clearcut","B10R6controlS4_2018","B10R6controlS4","clearcut",2018,10,6,"control",4,0,NA,2018,2018,"Hylobius","dead",1,0,250,100,0,"","Hylobius",1,1,250,1,1,0.216469801751026,250,0.25891222405536,250,5.86189291449746,1.36231182281033,456,2.85714285714286,TRUE
"B10R6controlS5 clearcut","B10R6controlS5_2018_clearcut","B10R6controlS5_2018","B10R6controlS5","clearcut",2018,10,6,"control",5,40,5.6,2018,0,"alive","alive",0,0,300,50,0,"","alive",0,1,830,0,1,0.35508985260553,300,0.39274379736436,300,5.86189291449746,1.36231182281033,456,2.85714285714286,TRUE
"B10R6controlS5 clearcut","B10R6controlS5_2019_clearcut","B10R6controlS5_2019","B10R6controlS5","clearcut",2019,10,6,"control",5,45,8.7,2019,0,"alive","alive",0,0,130,40,0,"","alive",0,1,830,0,1,-0.266604195200795,130,-0.221092180121738,130,5.86189291449746,1.36231182281033,456,2.85714285714286,TRUE
"B10R6controlS5 clearcut","B10R6controlS5_2020_clearcut","B10R6controlS5_2020","B10R6controlS5","clearcut",2020,10,6,"control",5,45,8.5,2020,0,"alive","alive",0,0,400,0,0,"","alive",0,1,830,0,1,0.577396041241463,400,0.603914876088799,400,5.86189291449746,1.36231182281033,456,2.85714285714286,TRUE
