"","uniqueIDsite","unIDyearSite","uniqueIDYear","uniqueID","site","year","block","row","treat","seedl_nr","height","diam_mm","dateYear","mort_date","notes","mortality","mort_binar","waxQual","damage","percentDebark","waxHeight_cm","rootCol","origNotes","mort2","rank","sumDamage","sumMort","ZeroDam"
"18","B10R3wax FS8 clearcut","B10R3wax FS8_2019_clearcut","B10R3wax FS8_2019","B10R3wax FS8","clearcut",2019,10,3,"wax F",8,70,14.1,2019,0,"alive","alive",0,4,10,10,0,"","alive",0,4,10,0,1
"19","B10R4wax CS1 clearcut","B10R4wax CS1_2019_clearcut","B10R4wax CS1_2019","B10R4wax CS1","clearcut",2019,10,4,"wax C",1,54,8.2,2019,0,"alive","alive",0,2,500,40,0,"","alive",0,3,1100,1,1
"20","B10R4wax CS1 clearcut","B10R4wax CS1_2020_clearcut","B10R4wax CS1_2020","B10R4wax CS1","clearcut",2020,10,4,"wax C",1,0,NA,2020,2020,"Hylobius","dead",1,4,600,0,0,"","Hylobius",1,5,1100,1,1
"21","B10R4wax CS2 clearcut","B10R4wax CS2_2019_clearcut","B10R4wax CS2_2019","B10R4wax CS2","clearcut",2019,10,4,"wax C",2,73,14,2019,0,"alive","alive",0,1,300,20,0,"","alive",0,2,300,0,1
"22","B10R4wax CS3 clearcut","B10R4wax CS3_2019_clearcut","B10R4wax CS3_2019","B10R4wax CS3","clearcut",2019,10,4,"wax C",3,53,9.8,2019,0,"alive","alive",0,3,250,30,0,"","alive",0,4,400,0,1
"23","B10R4wax CS3 clearcut","B10R4wax CS3_2020_clearcut","B10R4wax CS3_2020","B10R4wax CS3","clearcut",2020,10,4,"wax C",3,68,16.2,2020,0,"alive","alive",0,4,150,0,0,"","alive",0,5,400,0,1
"24","B10R4wax CS5 clearcut","B10R4wax CS5_2018_clearcut","B10R4wax CS5_2018","B10R4wax CS5","clearcut",2018,10,4,"wax C",5,25,4.2,2018,0,"alive","alive",0,2,30,10,0,"","alive",0,3,30,1,1
"25","B10R4wax CS8 clearcut","B10R4wax CS8_2018_clearcut","B10R4wax CS8_2018","B10R4wax CS8","clearcut",2018,10,4,"wax C",8,35,6.4,2018,0,"alive","alive",0,1,30,10,0,"","alive",0,2,160,0,1
"26","B10R4wax CS8 clearcut","B10R4wax CS8_2019_clearcut","B10R4wax CS8_2019","B10R4wax CS8","clearcut",2019,10,4,"wax C",8,31,9.2,2019,0,"alive","alive",0,2,40,10,0,"","alive",0,3,160,0,1
"27","B10R4wax CS8 clearcut","B10R4wax CS8_2020_clearcut","B10R4wax CS8_2020","B10R4wax CS8","clearcut",2020,10,4,"wax C",8,50,9.3,2020,0,"alive","alive",0,4,90,0,0,"","alive",0,5,160,0,1
"28","B10R6controlS10 clearcut","B10R6controlS10_2019_clearcut","B10R6controlS10_2019","B10R6controlS10","clearcut",2019,10,6,"control",10,50,6.6,2019,0,"alive","alive",0,0,10,10,0,"","alive",0,1,170,0,1
"29","B10R6controlS10 clearcut","B10R6controlS10_2020_clearcut","B10R6controlS10_2020","B10R6controlS10","clearcut",2020,10,6,"control",10,57,9.7,2020,0,"alive","alive",0,0,160,0,0,"","terminal",0,1,170,0,1
"30","B10R6controlS2 clearcut","B10R6controlS2_2018_clearcut","B10R6controlS2_2018","B10R6controlS2","clearcut",2018,10,6,"control",2,0,NA,2018,2018,"Hylobius","dead",1,0,500,100,0,"","Hylobius",1,1,500,1,1
"31","B10R6controlS3 clearcut","B10R6controlS3_2018_clearcut","B10R6controlS3_2018","B10R6controlS3","clearcut",2018,10,6,"control",3,0,NA,2018,2018,"Hylobius","dead",1,0,950,100,0,"","Hylobius",1,1,950,1,1
"32","B10R6controlS4 clearcut","B10R6controlS4_2018_clearcut","B10R6controlS4_2018","B10R6controlS4","clearcut",2018,10,6,"control",4,0,NA,2018,2018,"Hylobius","dead",1,0,250,100,0,"","Hylobius",1,1,250,1,1
"33","B10R6controlS5 clearcut","B10R6controlS5_2018_clearcut","B10R6controlS5_2018","B10R6controlS5","clearcut",2018,10,6,"control",5,40,5.6,2018,0,"alive","alive",0,0,300,50,0,"","alive",0,1,830,0,1
"34","B10R6controlS5 clearcut","B10R6controlS5_2019_clearcut","B10R6controlS5_2019","B10R6controlS5","clearcut",2019,10,6,"control",5,45,8.7,2019,0,"alive","alive",0,0,130,40,0,"","alive",0,1,830,0,1
"35","B10R6controlS5 clearcut","B10R6controlS5_2020_clearcut","B10R6controlS5_2020","B10R6controlS5","clearcut",2020,10,6,"control",5,45,8.5,2020,0,"alive","alive",0,0,400,0,0,"","alive",0,1,830,0,1
"36","B10R6controlS6 clearcut","B10R6controlS6_2019_clearcut","B10R6controlS6_2019","B10R6controlS6","clearcut",2019,10,6,"control",6,33,5.2,2019,0,"alive","alive",0,0,40,10,0,"","alive",0,1,40,0,1
"37","B10R6controlS7 clearcut","B10R6controlS7_2019_clearcut","B10R6controlS7_2019","B10R6controlS7","clearcut",2019,10,6,"control",7,60,9.8,2019,0,"alive","alive",0,0,80,40,0,"","alive",0,1,180,0,1
"38","B10R6controlS7 clearcut","B10R6controlS7_2020_clearcut","B10R6controlS7_2020","B10R6controlS7","clearcut",2020,10,6,"control",7,64,16.2,2020,0,"alive","alive",0,0,100,0,0,"","alive",0,1,180,0,1
"39","B10R6controlS8 clearcut","B10R6controlS8_2018_clearcut","B10R6controlS8_2018","B10R6controlS8","clearcut",2018,10,6,"control",8,0,NA,2018,2018,"Hylobius","dead",1,0,200,40,0,"","Hylobius",1,1,200,1,1
"40","B10R6controlS9 clearcut","B10R6controlS9_2019_clearcut","B10R6controlS9_2019","B10R6controlS9","clearcut",2019,10,6,"control",9,33,6.1,2019,0,"alive","alive",0,0,440,90,0,"","alive",0,1,1640,1,1
"41","B10R6controlS9 clearcut","B10R6controlS9_2020_clearcut","B10R6controlS9_2020","B10R6controlS9","clearcut",2020,10,6,"control",9,0,NA,2020,2020,"Hylobius","dead",1,0,1200,0,0,"","Hylobius",1,1,1640,1,1
"42","B1R1controlS1 clearcut","B1R1controlS1_2018_clearcut","B1R1controlS1_2018","B1R1controlS1","clearcut",2018,1,1,"control",1,65,10.9,2018,0,"alive","alive",0,0,110,30,0,"","alive",0,1,3900,0,1
"43","B1R1controlS1 clearcut","B1R1controlS1_2019_clearcut","B1R1controlS1_2019","B1R1controlS1","clearcut",2019,1,1,"control",1,56,13.9,2019,0,"alive","alive",0,0,1200,100,0,"","alive",0,1,3900,0,1
"44","B1R1controlS1 clearcut","B1R1controlS1_2020_clearcut","B1R1controlS1_2020","B1R1controlS1","clearcut",2020,1,1,"control",1,65,17.3,2020,0,"alive","alive",0,0,2590,0,0,"","terminal",0,1,3900,0,1
"45","B1R1controlS10 clearcut","B1R1controlS10_2019_clearcut","B1R1controlS10_2019","B1R1controlS10","clearcut",2019,1,1,"control",10,38,7.9,2019,0,"alive","alive",0,0,480,100,0,"","alive",0,1,630,0,1
"46","B1R1controlS10 clearcut","B1R1controlS10_2020_clearcut","B1R1controlS10_2020","B1R1controlS10","clearcut",2020,1,1,"control",10,47,13.8,2020,0,"alive","alive",0,0,150,0,0,"","terminal",0,1,630,0,1
"47","B1R1controlS2 clearcut","B1R1controlS2_2018_clearcut","B1R1controlS2_2018","B1R1controlS2","clearcut",2018,1,1,"control",2,27,4.5,2018,0,"alive","alive",0,0,20,10,0,"","alive",0,1,270,1,1
"48","B1R1controlS2 clearcut","B1R1controlS2_2019_clearcut","B1R1controlS2_2019","B1R1controlS2","clearcut",2019,1,1,"control",2,0,NA,2019,2019,"Hylobius","dead",1,0,250,100,0,"","Hylobius",1,1,270,1,1
"49","B1R1controlS3 clearcut","B1R1controlS3_2018_clearcut","B1R1controlS3_2018","B1R1controlS3","clearcut",2018,1,1,"control",3,0,NA,2018,2018,"Hylobius","dead",1,0,720,100,0,"","Hylobius",1,1,720,1,1
"50","B1R1controlS4 clearcut","B1R1controlS4_2018_clearcut","B1R1controlS4_2018","B1R1controlS4","clearcut",2018,1,1,"control",4,0,NA,2018,2018,"Hylobius","dead",1,0,10,10,0,"","human",1,1,10,1,1
"51","B1R1controlS6 clearcut","B1R1controlS6_2018_clearcut","B1R1controlS6_2018","B1R1controlS6","clearcut",2018,1,1,"control",6,0,NA,2018,2018,"Hylobius","dead",1,0,240,100,0,"","Hylobius",1,1,240,1,1
"52","B1R1controlS8 clearcut","B1R1controlS8_2018_clearcut","B1R1controlS8_2018","B1R1controlS8","clearcut",2018,1,1,"control",8,0,NA,2018,2018,"Hylobius","dead",1,0,180,100,0,"","Hylobius",1,1,180,1,1
"53","B1R1controlS9 clearcut","B1R1controlS9_2018_clearcut","B1R1controlS9_2018","B1R1controlS9","clearcut",2018,1,1,"control",9,0,NA,2018,2018,"Hylobius","dead",1,0,430,100,0,"","Hylobius",1,1,430,1,1
"54","B1R2chemicalS1 clearcut","B1R2chemicalS1_2019_clearcut","B1R2chemicalS1_2019","B1R2chemicalS1","clearcut",2019,1,2,"chemical",1,27,5.3,2019,0,"alive","alive",0,0,130,40,0,"","alive",0,1,280,0,1
"55","B1R2chemicalS1 clearcut","B1R2chemicalS1_2020_clearcut","B1R2chemicalS1_2020","B1R2chemicalS1","clearcut",2020,1,2,"chemical",1,42,9.8,2020,0,"alive","alive",0,0,150,0,0,"","alive",0,1,280,0,1
"56","B1R2chemicalS5 clearcut","B1R2chemicalS5_2019_clearcut","B1R2chemicalS5_2019","B1R2chemicalS5","clearcut",2019,1,2,"chemical",5,20,4.5,2019,0,"alive","alive",0,0,100,30,0,"","alive",0,1,100,0,1
"57","B1R2chemicalS6 clearcut","B1R2chemicalS6_2018_clearcut","B1R2chemicalS6_2018","B1R2chemicalS6","clearcut",2018,1,2,"chemical",6,27.5,4.6,2018,0,"alive","alive",0,0,10,0,0,"","terminal",0,1,10,0,1
"58","B1R2chemicalS9 clearcut","B1R2chemicalS9_2018_clearcut","B1R2chemicalS9_2018","B1R2chemicalS9","clearcut",2018,1,2,"chemical",9,36,5.5,2018,0,"alive","alive",0,0,110,20,0,"","alive",0,1,110,1,1
"59","B1R3collarS1 clearcut","B1R3collarS1_2019_clearcut","B1R3collarS1_2019","B1R3collarS1","clearcut",2019,1,3,"collar",1,43,9.8,2019,0,"alive","alive",0,0,900,100,0,"","alive",0,1,900,1,1
"60","B1R3collarS10 clearcut","B1R3collarS10_2019_clearcut","B1R3collarS10_2019","B1R3collarS10","clearcut",2019,1,3,"collar",10,25,4.8,2019,0,"alive","alive",0,0,30,10,0,"","alive",0,1,30,1,1
"61","B1R3collarS2 clearcut","B1R3collarS2_2019_clearcut","B1R3collarS2_2019","B1R3collarS2","clearcut",2019,1,3,"collar",2,31,7.7,2019,0,"alive","alive",0,0,2000,100,0,"","alive",0,1,2000,1,1
"62","B1R3collarS3 clearcut","B1R3collarS3_2019_clearcut","B1R3collarS3_2019","B1R3collarS3","clearcut",2019,1,3,"collar",3,51,13.4,2019,0,"alive","alive",0,0,850,100,0,"","alive",0,1,1050,0,1
"63","B1R3collarS3 clearcut","B1R3collarS3_2020_clearcut","B1R3collarS3_2020","B1R3collarS3","clearcut",2020,1,3,"collar",3,63,14.7,2020,0,"alive","alive",0,0,200,0,0,"Z","alive",0,1,1050,0,1
"64","B1R3collarS4 clearcut","B1R3collarS4_2019_clearcut","B1R3collarS4_2019","B1R3collarS4","clearcut",2019,1,3,"collar",4,31,7.8,2019,0,"alive","alive",0,0,350,80,0,"","alive",0,1,600,0,1
"65","B1R3collarS4 clearcut","B1R3collarS4_2020_clearcut","B1R3collarS4_2020","B1R3collarS4","clearcut",2020,1,3,"collar",4,44,9.8,2020,0,"alive","alive",0,0,250,0,0,"Z","alive",0,1,600,0,1
"66","B1R3collarS5 clearcut","B1R3collarS5_2019_clearcut","B1R3collarS5_2019","B1R3collarS5","clearcut",2019,1,3,"collar",5,31,7.2,2019,0,"alive","alive",0,0,80,40,0,"","alive",0,1,180,0,1
"67","B1R3collarS5 clearcut","B1R3collarS5_2020_clearcut","B1R3collarS5_2020","B1R3collarS5","clearcut",2020,1,3,"collar",5,32,8.3,2020,0,"alive","alive",0,0,100,0,0,"O","alive",0,1,180,0,1
"68","B1R3collarS6 clearcut","B1R3collarS6_2019_clearcut","B1R3collarS6_2019","B1R3collarS6","clearcut",2019,1,3,"collar",6,24,4.9,2019,0,"alive","alive",0,0,50,20,0,"","alive",0,1,50,1,1
"69","B1R3collarS7 clearcut","B1R3collarS7_2019_clearcut","B1R3collarS7_2019","B1R3collarS7","clearcut",2019,1,3,"collar",7,0,NA,2019,2019,"Hylobius","dead",1,0,1500,100,0,"G chýba","Hylobius",1,1,1500,1,1
"70","B1R3collarS8 clearcut","B1R3collarS8_2019_clearcut","B1R3collarS8_2019","B1R3collarS8","clearcut",2019,1,3,"collar",8,41,9,2019,0,"alive","alive",0,0,100,30,0,"","alive",0,1,150,0,1
"71","B1R3collarS8 clearcut","B1R3collarS8_2020_clearcut","B1R3collarS8_2020","B1R3collarS8","clearcut",2020,1,3,"collar",8,45,10.4,2020,0,"alive","alive",0,0,50,0,0,"Z","alive",0,1,150,0,1
"72","B1R3collarS9 clearcut","B1R3collarS9_2019_clearcut","B1R3collarS9_2019","B1R3collarS9","clearcut",2019,1,3,"collar",9,47,8.2,2019,0,"alive","alive",0,0,10,10,0,"","alive",0,1,160,0,1
"73","B1R3collarS9 clearcut","B1R3collarS9_2020_clearcut","B1R3collarS9_2020","B1R3collarS9","clearcut",2020,1,3,"collar",9,62,12.5,2020,0,"alive","alive",0,0,150,0,0,"Z","alive",0,1,160,0,1
"74","B1R4wax CS10 clearcut","B1R4wax CS10_2018_clearcut","B1R4wax CS10_2018","B1R4wax CS10","clearcut",2018,1,4,"wax C",10,0,NA,2018,2018,"Hylobius","dead",1,1,40,30,0,"","other",1,2,40,1,1
"75","B1R4wax CS2 clearcut","B1R4wax CS2_2019_clearcut","B1R4wax CS2_2019","B1R4wax CS2","clearcut",2019,1,4,"wax C",2,40,7.8,2019,0,"alive","alive",0,3,190,80,0,"","alive",0,4,1390,1,1
"76","B1R4wax CS2 clearcut","B1R4wax CS2_2020_clearcut","B1R4wax CS2_2020","B1R4wax CS2","clearcut",2020,1,4,"wax C",2,0,NA,2020,2020,"Hylobius","dead",1,4,1200,0,0,"","Hylobius",1,5,1390,1,1
"77","B1R4wax CS3 clearcut","B1R4wax CS3_2019_clearcut","B1R4wax CS3_2019","B1R4wax CS3","clearcut",2019,1,4,"wax C",3,46,10,2019,0,"alive","alive",0,3,1000,100,0,"","alive",0,4,3000,0,1
"78","B1R4wax CS3 clearcut","B1R4wax CS3_2020_clearcut","B1R4wax CS3_2020","B1R4wax CS3","clearcut",2020,1,4,"wax C",3,46,15.5,2020,0,"alive","alive",0,4,2000,0,0,"","alive",0,5,3000,0,1
"79","B1R4wax CS6 clearcut","B1R4wax CS6_2019_clearcut","B1R4wax CS6_2019","B1R4wax CS6","clearcut",2019,1,4,"wax C",6,63,17.9,2019,0,"alive","alive",0,2,800,70,0,"","alive",0,3,2300,0,1
"80","B1R4wax CS6 clearcut","B1R4wax CS6_2020_clearcut","B1R4wax CS6_2020","B1R4wax CS6","clearcut",2020,1,4,"wax C",6,63,14.7,2020,0,"alive","alive",0,4,1500,0,0,"","alive",0,5,2300,0,1
"81","B1R4wax CS7 clearcut","B1R4wax CS7_2019_clearcut","B1R4wax CS7_2019","B1R4wax CS7","clearcut",2019,1,4,"wax C",7,54,9.2,2019,0,"alive","alive",0,4,930,100,0,"","alive",0,4,2530,0,1
"82","B1R4wax CS7 clearcut","B1R4wax CS7_2020_clearcut","B1R4wax CS7_2020","B1R4wax CS7","clearcut",2020,1,4,"wax C",7,54,12.9,2020,0,"alive","alive",0,3,1600,0,0,"","bad condition",0,4,2530,0,1
"83","B1R4wax CS8 clearcut","B1R4wax CS8_2019_clearcut","B1R4wax CS8_2019","B1R4wax CS8","clearcut",2019,1,4,"wax C",8,56,13.4,2019,0,"alive","alive",0,2,950,100,0,"","alive",0,3,950,1,1
"84","B1R4wax CS9 clearcut","B1R4wax CS9_2019_clearcut","B1R4wax CS9_2019","B1R4wax CS9","clearcut",2019,1,4,"wax C",9,43,8.9,2019,0,"alive","alive",0,2,760,100,0,"","alive",0,3,760,1,1
"85","B1R5wax FS11 clearcut","B1R5wax FS11_2019_clearcut","B1R5wax FS11_2019","B1R5wax FS11","clearcut",2019,1,5,"wax F",11,38,12.9,2019,0,"alive","alive",0,2,1800,90,0,"","alive",0,3,1800,1,1
"86","B1R5wax FS2 clearcut","B1R5wax FS2_2020_clearcut","B1R5wax FS2_2020","B1R5wax FS2","clearcut",2020,1,5,"wax F",2,40,8,2020,0,"alive","alive",0,2,200,0,0,"","alive",0,3,200,0,1
"87","B1R5wax FS3 clearcut","B1R5wax FS3_2019_clearcut","B1R5wax FS3_2019","B1R5wax FS3","clearcut",2019,1,5,"wax F",3,27,5,2019,0,"alive","alive",0,4,1500,100,0,"","alive",0,5,4000,1,1
"88","B1R5wax FS3 clearcut","B1R5wax FS3_2020_clearcut","B1R5wax FS3_2020","B1R5wax FS3","clearcut",2020,1,5,"wax F",3,0,NA,2020,2020,"Hylobius","dead",1,0,2500,0,0,"","Hylobius",1,1,4000,1,1
"89","B1R5wax FS9 clearcut","B1R5wax FS9_2019_clearcut","B1R5wax FS9_2019","B1R5wax FS9","clearcut",2019,1,5,"wax F",9,41,7.7,2019,0,"alive","alive",0,4,310,70,0,"","alive",0,5,2010,0,1
"90","B1R5wax FS9 clearcut","B1R5wax FS9_2020_clearcut","B1R5wax FS9_2020","B1R5wax FS9","clearcut",2020,1,5,"wax F",9,45,10,2020,0,"alive","alive",0,4,1700,0,0,"","alive",0,5,2010,0,1
"91","B1R6glueS1 clearcut","B1R6glueS1_2020_clearcut","B1R6glueS1_2020","B1R6glueS1","clearcut",2020,1,6,"glue",1,70,15.2,2020,0,"alive","alive",0,0,40,0,0,"","alive",0,1,40,0,1
"92","B1R6glueS10 clearcut","B1R6glueS10_2019_clearcut","B1R6glueS10_2019","B1R6glueS10","clearcut",2019,1,6,"glue",10,62,17.8,2019,0,"alive","alive",0,0,150,30,0,"","alive",0,1,150,0,1
"93","B1R6glueS2 clearcut","B1R6glueS2_2019_clearcut","B1R6glueS2_2019","B1R6glueS2","clearcut",2019,1,6,"glue",2,37,7.4,2019,0,"alive","alive",0,0,70,50,0,"","alive",0,1,70,1,1
"94","B1R6glueS4 clearcut","B1R6glueS4_2019_clearcut","B1R6glueS4_2019","B1R6glueS4","clearcut",2019,1,6,"glue",4,50,10.5,2019,0,"alive","alive",0,0,50,10,0,"","alive",0,1,100,0,1
"95","B1R6glueS4 clearcut","B1R6glueS4_2020_clearcut","B1R6glueS4_2020","B1R6glueS4","clearcut",2020,1,6,"glue",4,61,14.8,2020,0,"alive","alive",0,0,50,0,0,"","alive",0,1,100,0,1
"96","B1R6glueS5 clearcut","B1R6glueS5_2019_clearcut","B1R6glueS5_2019","B1R6glueS5","clearcut",2019,1,6,"glue",5,38,10.8,2019,0,"alive","alive",0,0,20,10,0,"","alive",0,1,140,0,1
"97","B1R6glueS5 clearcut","B1R6glueS5_2020_clearcut","B1R6glueS5_2020","B1R6glueS5","clearcut",2020,1,6,"glue",5,38,10,2020,0,"alive","alive",0,0,120,0,0,"","alive",0,1,140,0,1
"98","B1R6glueS6 clearcut","B1R6glueS6_2019_clearcut","B1R6glueS6_2019","B1R6glueS6","clearcut",2019,1,6,"glue",6,37,8.3,2019,0,"alive","alive",0,0,80,30,0,"","alive",0,1,80,0,1
"99","B1R6glueS9 clearcut","B1R6glueS9_2018_clearcut","B1R6glueS9_2018","B1R6glueS9","clearcut",2018,1,6,"glue",9,0,NA,2018,2018,"Hylobius","dead",1,0,215,100,0,"","Hylobius",1,1,215,1,1
"100","B2R1wax FS1 clearcut","B2R1wax FS1_2019_clearcut","B2R1wax FS1_2019","B2R1wax FS1","clearcut",2019,2,1,"wax F",1,22,7,2019,0,"alive","alive",0,1,350,90,0,"","alive",0,2,1050,1,1
"101","B2R1wax FS1 clearcut","B2R1wax FS1_2020_clearcut","B2R1wax FS1_2020","B2R1wax FS1","clearcut",2020,2,1,"wax F",1,0,NA,2020,2020,"Hylobius","dead",1,0,700,0,0,"","Hylobius",1,1,1050,1,1
"102","B2R1wax FS10 clearcut","B2R1wax FS10_2019_clearcut","B2R1wax FS10_2019","B2R1wax FS10","clearcut",2019,2,1,"wax F",10,42,16.4,2019,0,"alive","alive",0,2,150,30,0,"","alive",0,3,300,0,1
"103","B2R1wax FS10 clearcut","B2R1wax FS10_2020_clearcut","B2R1wax FS10_2020","B2R1wax FS10","clearcut",2020,2,1,"wax F",10,56,13.5,2020,0,"alive","alive",0,3,150,0,0,"","alive",0,4,300,0,1
"104","B2R1wax FS2 clearcut","B2R1wax FS2_2019_clearcut","B2R1wax FS2_2019","B2R1wax FS2","clearcut",2019,2,1,"wax F",2,34,11.7,2019,0,"alive","alive",0,2,500,80,0,"","alive",0,3,2500,1,1
"105","B2R1wax FS2 clearcut","B2R1wax FS2_2020_clearcut","B2R1wax FS2_2020","B2R1wax FS2","clearcut",2020,2,1,"wax F",2,0,NA,2020,2020,"Hylobius","dead",1,0,2000,0,0,"","Hylobius",1,1,2500,1,1
"106","B2R1wax FS3 clearcut","B2R1wax FS3_2019_clearcut","B2R1wax FS3_2019","B2R1wax FS3","clearcut",2019,2,1,"wax F",3,60,11.9,2019,0,"alive","alive",0,1,1000,100,0,"","alive",0,2,2000,1,1
"107","B2R1wax FS3 clearcut","B2R1wax FS3_2020_clearcut","B2R1wax FS3_2020","B2R1wax FS3","clearcut",2020,2,1,"wax F",3,0,NA,2020,2020,"Hylobius","dead",1,0,1000,0,0,"","Hylobius",1,1,2000,1,1
"108","B2R1wax FS9 clearcut","B2R1wax FS9_2019_clearcut","B2R1wax FS9_2019","B2R1wax FS9","clearcut",2019,2,1,"wax F",9,42,11,2019,0,"alive","alive",0,2,800,80,0,"","alive",0,3,1500,1,1
"109","B2R1wax FS9 clearcut","B2R1wax FS9_2020_clearcut","B2R1wax FS9_2020","B2R1wax FS9","clearcut",2020,2,1,"wax F",9,0,NA,2020,2020,"Hylobius","dead",1,0,700,0,0,"","Hylobius",1,1,1500,1,1
"110","B2R2collarS1 clearcut","B2R2collarS1_2018_clearcut","B2R2collarS1_2018","B2R2collarS1","clearcut",2018,2,2,"collar",1,0,NA,2018,2018,"Hylobius","dead",1,0,50,50,0,"","other",1,1,50,1,1
"111","B2R2collarS4 clearcut","B2R2collarS4_2018_clearcut","B2R2collarS4_2018","B2R2collarS4","clearcut",2018,2,2,"collar",4,37,3.8,2018,0,"alive","alive",0,0,80,50,0,"","alive",0,1,640,0,1
"112","B2R2collarS4 clearcut","B2R2collarS4_2019_clearcut","B2R2collarS4_2019","B2R2collarS4","clearcut",2019,2,2,"collar",4,44,4.7,2019,0,"alive","alive",0,0,60,30,0,"","alive",0,1,640,0,1
"113","B2R2collarS4 clearcut","B2R2collarS4_2020_clearcut","B2R2collarS4_2020","B2R2collarS4","clearcut",2020,2,2,"collar",4,47,8.2,2020,0,"alive","alive",0,0,500,0,0,"Z","alive",0,1,640,0,1
"114","B2R2collarS5 clearcut","B2R2collarS5_2018_clearcut","B2R2collarS5_2018","B2R2collarS5","clearcut",2018,2,2,"collar",5,0,NA,2018,2018,"Hylastes","dead",1,0,30,20,0,"","Hylastes",1,1,30,1,1
"115","B2R2collarS6 clearcut","B2R2collarS6_2018_clearcut","B2R2collarS6_2018","B2R2collarS6","clearcut",2018,2,2,"collar",6,0,NA,2018,2018,"Hylobius","dead",1,0,70,40,0,"","Hylobius",1,1,70,1,1
"116","B2R2collarS8 clearcut","B2R2collarS8_2018_clearcut","B2R2collarS8_2018","B2R2collarS8","clearcut",2018,2,2,"collar",8,38,5.4,2018,0,"alive","alive",0,0,30,20,0,"","alive",0,1,150,0,1
"117","B2R2collarS8 clearcut","B2R2collarS8_2019_clearcut","B2R2collarS8_2019","B2R2collarS8","clearcut",2019,2,2,"collar",8,46.5,8.7,2019,0,"alive","alive",0,0,120,20,0,"","alive",0,1,150,0,1
"118","B2R2collarS9 clearcut","B2R2collarS9_2018_clearcut","B2R2collarS9_2018","B2R2collarS9","clearcut",2018,2,2,"collar",9,0,NA,2018,2018,"Hylastes","dead",1,0,20,50,0,"","Hylastes",1,1,20,1,1
"119","B2R3glueS1 clearcut","B2R3glueS1_2019_clearcut","B2R3glueS1_2019","B2R3glueS1","clearcut",2019,2,3,"glue",1,43,7.6,2019,0,"alive","alive",0,0,50,20,0,"","alive",0,1,100,1,1
"120","B2R3glueS1 clearcut","B2R3glueS1_2020_clearcut","B2R3glueS1_2020","B2R3glueS1","clearcut",2020,2,3,"glue",1,0,NA,2020,2020,"Hylastes","dead",1,0,50,0,0,"","Hylastes",1,1,100,1,1
"121","B2R3glueS2 clearcut","B2R3glueS2_2019_clearcut","B2R3glueS2_2019","B2R3glueS2","clearcut",2019,2,3,"glue",2,59,11.6,2019,0,"alive","alive",0,0,90,20,0,"","alive",0,1,90,0,1
"122","B2R3glueS3 clearcut","B2R3glueS3_2019_clearcut","B2R3glueS3_2019","B2R3glueS3","clearcut",2019,2,3,"glue",3,56,13.1,2019,0,"alive","alive",0,0,740,80,0,"","alive",0,1,740,0,1
"123","B2R3glueS4 clearcut","B2R3glueS4_2019_clearcut","B2R3glueS4_2019","B2R3glueS4","clearcut",2019,2,3,"glue",4,37,5.9,2019,0,"alive","alive",0,0,40,10,0,"","alive",0,1,40,1,1
"124","B2R3glueS8 clearcut","B2R3glueS8_2019_clearcut","B2R3glueS8_2019","B2R3glueS8","clearcut",2019,2,3,"glue",8,0,NA,2019,2019,"Hylobius","dead",1,0,250,50,0,"","Hylobius",1,1,250,1,1
"125","B2R4wax CS1 clearcut","B2R4wax CS1_2018_clearcut","B2R4wax CS1_2018","B2R4wax CS1","clearcut",2018,2,4,"wax C",1,0,NA,2018,2018,"Hylobius","dead",1,1,430,0,0,"","Hylobius",1,2,430,1,1
"126","B2R4wax CS2 clearcut","B2R4wax CS2_2019_clearcut","B2R4wax CS2_2019","B2R4wax CS2","clearcut",2019,2,4,"wax C",2,29,7.4,2019,0,"alive","alive",0,4,190,100,0,"","alive",0,5,490,1,1
"127","B2R4wax CS2 clearcut","B2R4wax CS2_2020_clearcut","B2R4wax CS2_2020","B2R4wax CS2","clearcut",2020,2,4,"wax C",2,0,NA,2020,2020,"Hylobius","dead",1,4,300,0,0,"","Hylobius",1,5,490,1,1
"128","B2R4wax CS3 clearcut","B2R4wax CS3_2019_clearcut","B2R4wax CS3_2019","B2R4wax CS3","clearcut",2019,2,4,"wax C",3,61,15,2019,0,"alive","alive",0,1,570,80,0,"","alive",0,2,1570,0,1
"129","B2R4wax CS3 clearcut","B2R4wax CS3_2020_clearcut","B2R4wax CS3_2020","B2R4wax CS3","clearcut",2020,2,4,"wax C",3,67,17.2,2020,0,"alive","alive",0,2,1000,0,0,"","alive",0,3,1570,0,1
"130","B2R4wax CS4 clearcut","B2R4wax CS4_2019_clearcut","B2R4wax CS4_2019","B2R4wax CS4","clearcut",2019,2,4,"wax C",4,56,14.3,2019,0,"alive","alive",0,4,800,100,0,"","alive",0,5,1800,0,1
"131","B2R4wax CS4 clearcut","B2R4wax CS4_2020_clearcut","B2R4wax CS4_2020","B2R4wax CS4","clearcut",2020,2,4,"wax C",4,74,18.4,2020,0,"alive","alive",0,4,1000,0,0,"","alive",0,5,1800,0,1
"132","B2R4wax CS7 clearcut","B2R4wax CS7_2019_clearcut","B2R4wax CS7_2019","B2R4wax CS7","clearcut",2019,2,4,"wax C",7,74,13.5,2019,0,"alive","alive",0,2,780,90,0,"","alive",0,3,980,0,1
